zeta zeta_e psi t_s omega taus_mean taus_std taus_skewness taus_kurtosis taus_median taus_iqr epsilons_mean epsilons_std epsilons_skewness epsilons_kurtosis epsilons_median epsilons_iqr Ne_s_mean Ne_s_std Ne_s_skewness Ne_s_kurtosis Ne_s_median Ne_s_iqr pop0-[[5_1]] pop0-[[4_2]] pop0-[[3_3]] pop1-[[5_1]] pop1-[[4_2]] pop1-[[3_3]] pop2-[[5_1]] pop2-[[4_2]] pop2-[[3_3]] pop3-[[5_1]] pop3-[[4_2]] pop3-[[3_3]] pop4-[[5_1]] pop4-[[4_2]] pop4-[[3_3]] pop5-[[5_1]] pop5-[[4_2]] pop5-[[3_3]] pop6-[[5_1]] pop6-[[4_2]] pop6-[[3_3]] pop7-[[5_1]] pop7-[[4_2]] pop7-[[3_3]] pop8-[[5_1]] pop8-[[4_2]] pop8-[[3_3]] pop9-[[5_1]] pop9-[[4_2]] pop9-[[3_3]] pop10-[[5_1]] pop10-[[4_2]] pop10-[[3_3]] pop11-[[5_1]] pop11-[[4_2]] pop11-[[3_3]] pop12-[[5_1]] pop12-[[4_2]] pop12-[[3_3]] pop13-[[5_1]] pop13-[[4_2]] pop13-[[3_3]] pop14-[[5_1]] pop14-[[4_2]] pop14-[[3_3]] pop15-[[5_1]] pop15-[[4_2]] pop15-[[3_3]] pop16-[[5_1]] pop16-[[4_2]] pop16-[[3_3]] pop17-[[5_1]] pop17-[[4_2]] pop17-[[3_3]] pop18-[[5_1]] pop18-[[4_2]] pop18-[[3_3]] pop19-[[5_1]] pop19-[[4_2]] pop19-[[3_3]] pop20-[[5_1]] pop20-[[4_2]] pop20-[[3_3]]
0.216 5 1 0.810 0.108 0.764 0.287 -0.225 -0.964 0.810 0.449 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 76 52 26 71 48 23 68 42 20 67 42 20 67 42 18 64 40 18 62 40 17 61 39 16 60 39 16 60 35 15 58 34 15 57 34 15 56 33 15 56 32 14 55 30 12 53 29 12 52 29 9 51 23 8 50 22 8 48 13 7 45 13 6
0.766 16 1 0.492 0.052 0.542 0.168 2.342 5.036 0.492 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 70 39 17 67 38 16 62 37 16 61 36 15 61 35 15 61 35 14 57 34 13 57 31 12 55 30 11 55 30 10 55 30 10 55 30 10 52 29 10 50 28 9 50 26 9 49 26 8 47 25 8 46 23 8 43 23 7 43 23 7 41 22 5
0.325 7 1 0.473 0.102 0.638 0.255 0.820 -0.225 0.529 0.286 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 74 50 26 63 39 21 60 39 19 59 36 17 58 33 17 56 33 16 54 33 16 54 33 14 53 32 14 52 29 13 51 29 12 51 27 12 50 25 12 50 24 11 47 23 11 46 23 10 45 21 9 44 20 8 43 19 8 37 18 7 35 13 6
0.030 1 0 0.842 0.091 0.794 0.269 -0.442 -0.698 0.799 0.396 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 79 54 23 74 46 20 71 44 20 68 42 19 67 41 18 65 41 18 65 41 16 63 40 15 63 38 15 61 38 14 60 37 14 60 34 14 58 32 13 57 32 13 56 30 13 52 29 13 52 28 11 52 23 11 49 20 10 49 20 4 47 15 4
0.339 7 1 1.044 0.047 0.876 0.202 -0.543 -0.340 0.842 0.277 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 85 52 30 83 48 25 76 46 24 74 43 22 72 43 22 69 42 21 69 41 20 69 41 19 68 41 19 67 39 18 65 39 18 64 38 16 64 37 15 62 36 14 59 35 14 58 34 14 56 34 12 56 34 12 56 30 11 54 23 11 53 22 7
0.046 1 0 1.095 0.097 0.705 0.262 0.408 -0.937 0.659 0.454 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 76 45 25 73 43 24 73 41 18 67 39 18 66 36 17 61 36 16 61 36 15 60 34 15 59 34 14 59 32 13 59 32 13 58 32 13 56 31 13 55 28 12 53 25 12 52 25 11 51 23 11 50 23 11 47 22 11 43 20 5 43 19 5
0.908 19 1 0.509 0.054 0.563 0.174 3.144 8.553 0.509 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 68 46 19 67 35 16 63 33 15 61 31 14 60 30 14 59 30 14 58 30 14 58 28 13 58 28 13 54 27 11 53 27 11 53 27 11 52 26 9 51 26 9 51 25 8 51 24 8 50 23 8 50 21 8 49 20 7 49 19 7 45 18 6
0.217 5 1 0.710 0.100 0.803 0.283 -0.038 -1.133 0.710 0.466 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 77 51 27 76 47 21 73 47 20 72 46 19 72 45 19 71 44 18 66 44 17 66 38 17 65 37 16 65 36 16 64 36 15 62 36 15 59 33 15 57 31 15 57 30 14 56 28 14 54 28 12 54 26 11 51 24 11 49 23 7 46 21 6
0.326 7 1 0.843 0.107 0.669 0.268 0.230 -1.091 0.729 0.423 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 86 51 18 78 46 17 75 43 17 71 42 17 66 41 17 65 39 17 63 37 16 63 36 15 62 35 14 61 35 14 60 33 14 60 33 14 60 32 13 58 31 11 57 30 10 52 26 10 52 26 9 50 25 8 44 25 6 37 20 5 34 20 5
0.223 5 1 0.594 0.087 0.668 0.241 0.303 -0.598 0.594 0.284 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 93 50 25 71 47 23 69 46 20 67 43 19 66 39 18 63 36 17 60 35 17 60 34 16 59 32 16 58 32 15 58 31 14 57 30 13 53 30 13 53 29 13 53 27 10 50 26 9 49 26 9 48 25 8 47 24 8 46 21 8 33 20 7
